party,party_sentence,topic_code,coalition_sentence,similarity_score
SPD,"Wir haben den Zielwert gesamtstaatlicher, also öffentlicher und privater Ausgaben für Forschung und Entwicklung, von drei Prozent des BIP bereits in den letzten Jahren übertroffen und wollen ihn weiter auf mindestens 3,5 Prozent steigern.",411,"Wir wollen den Anteil der gesamtstaatlichen Ausgaben für Forschung und Entwicklung auf 3,5 Prozent des BIP bis 2025 erhöhen.",0.90483624
SPD,"Gegen Steuerhinterziehung, Steuervermeidung und Steuerbetrug werden wir konsequent vorgehen.",605.1,Wir werden weiterhin den Umsatzsteuerbetrug bekämpfen.,0.90457857
SPD,Sorgen wir für gleiche Teilhabe,503,Dabei werden wir auf gleichberechtigte Teilhabe achten.,0.9017607
SPD,und den Europäischen Gerichtshof für Menschenrechte stärken.,108,Den Europäischen Gerichtshof für Menschenrechte werden wir stärken und die Umsetzung seiner Urteile in allen Mitgliedsländern mit Nachdruck einfordern.,0.901001
SPD,und werden dazu die Deutsche Nachhaltigkeitsstrategie weiterentwickeln.,416.2,Wir werden die Deutsche Nachhaltigkeitsstrategie und das Maßnahmenprogramm Nachhaltigkeit weiterentwickeln und die Governance-Strukturen überprüfen.,0.9004799
SPD,Die NATO ist und bleibt ein tragender Pfeiler der transatlantischen Partnerschaft und für Europas Sicherheit unverzichtbar.,104,Die NATO bleibt unverzichtbare Grundlage unserer Sicherheit.,0.89889985
SPD,Die Gleichstellung von Frauen und Männern ist eine Aufgabe für die gesamte Gesellschaft.,503,Die Gleichstellung der Geschlechter ist Grundlage einer gleichberechtigten Gesellschaft.,0.8988421
SPD,und das Parlament in seiner Kontrollfunktion stärken.,202.1,Hilfsorgane der Parlamentarischen Kontrolle stärken wir.,0.8986956
SPD,"Gemeinsam mit Sozialpartnern und lokalen Akteuren werden wir regionale Transformationscluster aufbauen, um neue, qualifizierte und gut bezahlte Beschäftigung in den Regionen zu schaffen.",701,Gemeinsam mit Sozialpartnern und lokalen Akteuren bauen wir regionale Transformations- und Qualifizierungscluster auf.,0.89786285
SPD,Mit dem Ansteigen des CO2-Preises werden wir für weitere sozial gerechte Ausgleichsmaßnahmen sorgen.,503,"Wir setzen auf einen steigenden CO2-Preis als wichtiges Instrument, verbunden mit einem starken sozialen Ausgleich und werden dabei insbesondere Menschen mit geringeren Einkommen unterstützen.",0.89784646
SPD,Unternehmergeist fördert dringend benötigte Innovationen.,411,Für einen echten Innovationsschub müssen wir Ausgründungen vorantreiben.,0.8975046
SPD,Wir schaffen ein modernes Abstammungsrecht.,604,Wir schaffen ein modernes Staatsangehörigkeitsrecht.,0.89742404
SPD,Das Informationsfreiheitsrecht werden wir zu einem wirksamen Transparenzrecht weiterentwickeln und ausbauen.,202.1,Die Informationsfreiheitsgesetze werden wir zu einem Bundestransparenzgesetz weiterentwickeln.,0.897172
SPD,Zur besseren sozialen Sicherung von freischaffenden Künstler*innen werden wir Mindestgagen und Ausstellungshonorare fest etablieren.,701,"Zur besseren sozialen Sicherung freischaffender Künstlerinnen, Künstler und Kreativer werden wir Mindesthonorierungen in Förderrichtlinien des Bundes aufnehmen.",0.8968266
SPD,Wir richten unsere Politik an den Nachhaltigkeitszielen der Vereinten Nationen (SDG) aus,107,Umwelt- und Naturschutz Die 17 Globalen Nachhaltigkeitsziele der Vereinten Nationen (SDG) sind Richtschnur unserer Politik.,0.8947869
SPD,Wir wollen ein Jahrzehnt der Gleichstellung.,503,Gleichstellung Die Gleichstellung von Frauen und Männern muss in diesem Jahrzehnt erreicht werden.,0.8947713
SPD,"Die Normalisierung der Beziehungen zwischen Israel und einigen Staaten in der Region sind ermutigende Signale, dass Fortschritte zum Frieden möglich sind.",106,Wir begrüßen die begonnene Normalisierung von Beziehungen zwischen weiteren arabischen Staaten und Israel.,0.8944267
SPD,Der Ausbau dieser Infrastrukturen muss dem Bedarf vorausgehen.,411,Dazu ist ein engagierter Aufbau der notwendigen Infrastruktur erforderlich.,0.89328367
SPD,"Wir werden ein Bundesprogramm Barrierefreiheit initiieren, das über entsprechende Ressourcen verfügen muss.",503,Wir setzen dafür das Bundesprogramm Barrierefreiheit ein.,0.89300907
SPD,Deutschland ist eines der sichersten Länder der Welt.,601.1,"Innere Sicherheit, Bürgerrechte, Justiz, Verbraucherschutz, Sport Deutschland ist eines der sichersten Länder der Welt.",0.89237916
SPD,Wir werden eine entsprechende Regelung auch auf europäischer Ebene vorantreiben.,108,Auf Grundlage der europäischen Vorgaben werden wir den Rechtsrahmen (u. a.,0.88832194
SPD,Zugleich werden wir die Attraktivität des Dienstes in der Bundeswehr weiter steigern.,104,Wir werden daher weitere Maßnahmen zur Steigerung der Attraktivität des Dienstes in der Bundeswehr einführen und dabei auch den Übergang der Soldaten auf Zeit in die Wehrverwaltung erleichtern sowie in die freie Wirtschaft verbessern.,0.88766754
SPD,"Um auf grenzüberschreitende Gesundheitsgefahren in Zukunft besser reagieren zu können, brauchen wir krisenfeste europäische Gesundheitsbehörden, die mit weitreichenden Kompetenzen und Ressourcen ausgestattet werden.",108,"Um die EU- Gesundheitsbehörden krisenfest zu machen, statten wir diese mit den erforderlichen Kompetenzen und Ressourcen aus.",0.8872746
SPD,Wir werden Schlüsselindustrien auf ihrem Weg zur Klimaneutralität unterstützen und konkrete Transformationsziele entwickeln und fördern.,416.2,"Um die Unternehmen bei ihren Investitionen auf dem Weg zur Klimaneutralität zu unterstützen, setzen wir auf zielgerichtete Instrumente.",0.88714665
SPD,Wir werden den gesetzlichen Mindestlohn zunächst auf mindestens zwölf Euro erhöhen,412,Darum werden wir den Mindestlohn auf 12 Euro anheben und uns für Entgeltgleichheit von Frauen und Männern einsetzen.,0.886641
SPD,"Wir werden zudem Rüstungskontrolle auch in den Bereichen Biotechnologie, Cyber und Künstliche Intelligenz etablieren.",105,"Für waffentechnologische Entwicklungen bei Biotech, Hyperschall, Weltraum, Cyber und KI werden wir frühzeitig Initiativen zur Rüstungskontrolle ergreifen.",0.8866266
SPD,"Wir werden für eine deutlich bessere Vereinbarkeit von Familie und Beruf sorgen,",701,Wir wollen die Vereinbarkeit von Familie und Beruf stärken.,0.88504153
SPD,2030 sollen mindestens 15 Millionen PKW in Deutschland voll elektrisch fahren.,416.2,Unser Ziel sind mindestens 15 Millionen vollelektrische Pkw bis 2030.,0.8837313
SPD,Das soll in einem Rüstungsexportgesetz festgeschrieben werden.,105,Wir setzen uns für ein nationales Rüstungsexportkontrollgesetz ein.,0.8836574
SPD,"Öffentlich finanzierte Software sollte, wo möglich, als Open-Source transparent entwickelt und öffentlich zugänglich gemacht werden.",202.1,"Entwicklungsaufträge werden in der Regel als Open Source beauftragt, die entsprechende Software wird grundsätzlich öffentlich gemacht.",0.8833186
SPD,Die Grundsicherung werden wir grundlegend überarbeiten und zu einem Bürgergeld entwickeln.,504,Wir erneuern mit dem Bürgergeld das System der Grundsicherung.,0.88282806
SPD,Zur Sicherung des Friedens- und der Verteidigung leistet die Bundeswehr einen verantwortungsvollen Beitrag.,104,Verteidigung und Bundeswehr Die Bundeswehr leistet einen wesentlichen Beitrag zum Schutz und zur Verteidigung unseres Landes sowie unserer Partner und Verbündeten.,0.88219315
SPD,Diese Industriestrategie wird in Verbindung mit dem European Green Deal in eine gesamteuropäische Lösung eingebettet sein.,108,"Wir erarbeiten eine Industriestrategie, die in Verbindung mit dem European Green Deal in eine europäische Lösung eingebettet ist und durch geeignete Maßnahmen Carbon Leakage verhindert.",0.8811908
SPD,2030 sollen mindestens 15 Millionen PKW in Deutschland voll elektrisch fahren.,416.2,"Rahmenbedingungen und Fördermaßnahmen werden wir darauf ausrichten, dass Deutschland Leitmarkt für Elektromobilität mit mindestens15 Millionen Elektro-Pkw im Jahr 2030 ist.",0.87901616
SPD,werden das Herzstück unserer Klimaschutz- und Energiepolitik.,501,Gleichzeitig ist er für das Erreichen unserer Klimaschutzziele unerlässlich.,0.8790143
SPD,"Produkte müssen so gestaltet werden, dass man sie wiederverwenden, recyceln und auch reparieren kann.",416.2,"Produkte müssen langlebig, wiederverwendbar, recycelbar und möglichst reparierbar sein.",0.87797683
SPD,Wir werden ein gemeinsames Wahlrecht zur Wahl der europäischen Volksvertretung schaffen.,202.1,Wir unterstützen ein einheitliches europäisches Wahlrecht mit teils transnationalen Listen und einem verbindlichen Spitzenkandidatensystem.,0.87751424
SPD,Wir fördern die Entwicklung von Anonymisierungstechniken,201.2,"Wir fördern Anonymisierungstechniken, schaffen Rechtssicherheit durch Standards und führen die Strafbarkeit rechtswidriger De-anonymisierung ein.",0.8769362
SPD,Gewerkschaften sollen ein digitales Zugangsrecht zum „virtuellen“ Betrieb erhalten.,411,"Wir schaffen ein zeitgemäßes Recht für Gewerkschaften auf digitalen Zugang in die Betriebe, das ihren analogen Rechten entspricht.",0.87630934
SPD,In den palästinensischen Gebieten sind auf allen Ebenen weite- re demokratische Fortschritte nötig.,202.1,"Von der palästinensischen Seite erwarten wir Fortschritte bei Demokratie, Rechtsstaatlichkeit und Menschenrechten.",0.87622404
SPD,"Es geht darum, allen Bürger*innen zu garantieren, dass sie dieselben Chancen und Möglichkeiten haben – frei von Diskriminierung.",503,"Vielfalt Jede und Jeder hat die gleichen Rechte, sollte die gleichen Chancen haben und vor Diskriminierung geschützt sein.",0.87483037
SPD,möglichst im Einklang mit unseren europäischen Partnern.,108,Wir handeln dabei im europäischen Selbstverständnis und in Abstimmung mit unseren internationalen Partnern.,0.87465763
SPD,"Gegen Steuerhinterziehung, Steuervermeidung und Steuerbetrug werden wir konsequent vorgehen.",605.1,Steuerhinterziehung und Steuervermeidung werden wir intensiver bekämpfen.,0.87436646
SPD,Wir wollen ein digital souveränes Europa auf der Basis einer wertebasierten digitalen Wirtschaft.,411,"Dabei ist uns bewusst: Ein digitaler Aufbruch, der unsere Werte, die digitale Souveränität und einen starken Technologiestandort sichert, gelingt nur in einem fortschrittlichen europäischen Rahmen.",0.87347674
SPD,Wir werden die Unterstützung von strukturschwachen Regionen durch die Gemeinschaftsaufgabe Verbesserung der regionalen Wirtschaftsstruktur (GRW) verstetigen.,301,Wir fördern regionale Transformationscluster und werden strukturschwache Regionen unterstützen.,0.8733628
SPD,"Damit schaffen wir die Voraussetzungen für ein souveränes Europa, das für soziale Gerechtigkeit, Wohlstand und Menschenrechte steht und sich geschlossen für eine gerechtere, friedlichere und nachhaltigere Welt einsetzt.",108,"Europa Eine demokratisch gefestigtere, handlungsfähigere und strategisch souveränere Europäische Union ist die Grundlage für unseren Frieden, Wohlstand und Freiheit.",0.8712497
SPD,Die Partnerschaft zwischen Europa und Afrika wollen wir politisch und wirtschaftlich deutlich ausbauen und auf ein neues Level der Zusammenarbeit heben.,107,"Für die Zukunft streben wir mit Afrika eine enge Partnerschaft auf allen Ebenen an, bilateral und im Rahmen einer kohärenten EU-Afrika-Strategie.",0.8712291
SPD,Dafür setzen wir uns innerhalb und außerhalb der schulischen Bildung für verstärkten und einfacheren Zugang zu politischen Bildungsmöglichkeiten und Demokratieförderung ein.,202.1,"Wir wollen die politische Bildung und die Demokratiebildung entlang der Bildungskette stärken, die Projektmittel der Bundeszentrale für politische Bildung erhöhen und die Unabhängigkeit ihrer Arbeit achten.",0.87013423
SPD,Auch das Amt des Hohen Vertreters der EU für Außen- und Sicherheitspolitik sollte langfristig zu einem EU-Außenminister weiterentwickelt werden.,108,"Den Europäischen Auswärtigen Dienst gilt es zu reformieren und zu stärken, einschließlich der Rolle der Hohen Vertreterin bzw. des Hohen Vertreters als echte „EU-Außenministerin“ bzw. echtem „EU- Außenminister“.",0.86935705
SPD,"Wir setzen uns dafür ein, dass unbemannte bewaffnete Drohnen international erfasst und in ein internationales Regelwerk einbezogen werden, um dem Trend einer zeitlichen und räumlichen Entgrenzung militärischer Gewalt ebenso entgegenzuwirken wie den Befürchtungen einer techno- logischen und funktionalen Autonomie.",107,Bewaffnete Drohnen wollen wir verstärkt in internationale Kontrollregime einbeziehen.,0.86924267
SPD,"Wir werden dafür sorgen, dass alle Kinder und Jugendlichen unabhängig von ihrer Herkunft die gleichen Chancen haben, das Bestmögliche aus ihrem Leben zu machen.",503,"Kinder, Jugend, Familien und Senioren Kinder und Jugendliche sollen mit gleichen Lebenschancen aufwachsen, unabhängig von ihrer Herkunft.",0.86890703
SPD,und die sozialversicherungspflichtige Beschäftigung stärken und ausbauen.,504,Sie dient der Förderung sozialversicherungspflichtiger Beschäftigung im Haushalt.,0.8682339
SPD,Für Honkong muss das international verbriefte Prinzip „Ein Land – zwei Systeme“ gewahrt bleiben.,103.1,Dem Prinzip „Ein Land – zwei Systeme“ in Hong Kong muss wieder Geltung verschafft werden.,0.86790633
SPD,Daher gilt für uns: Die Finanzierung der in diesem Zukunftsprogramm formulierten Schwerpunkte stellen wir sicher.,408,Die Finanzierung werden wir sicherstellen.,0.8672777
SPD,"Wir setzen uns dafür ein, den Anteil der öffentlichen Ausgaben für Entwicklungszusammenarbeit (ODA-Quote) von mindestens 0,7 Prozent des Bruttonationaleinkommens einzuhalten.",107,"Wir werden eine ODA-Quote von mindestens 0,7 Prozent des Bruttonationaleinkommens (BNE) einhalten.",0.8670257
SPD,Unternehmergeist fördert dringend benötigte Innovationen.,411,"Wir schaffen neues Zutrauen in Gründergeist, Innovation und Unternehmertum.",0.8661319
SPD,"Um die Nettoeinkommen von gering Verdienenden zu erhöhen, heben wir die Gleitzone der Midi-Jobs auf 1.600 Euro an.",701,Wir erhöhen die Midi-Job- Grenze auf 1.600 Euro.,0.8656465
SPD,Unsere Politik richtet sich nach dem Klimaabkommen von Paris:,107,"Wir setzen uns insbesondere für eine gemeinsame, konsequente Klimaaußenpolitik und Klimagerechtigkeit im Sinne des European Green Deal, der Agenda 2030 und des Pariser Klimaabkommens ein.",0.8654795
SPD,"Wir setzen uns ein für Biodiversitätspolitik, um Ökosysteme zu schützen und wiederherzustellen.",501,"Wir wollen die Biologische Vielfalt schützen und verbessern, ihre nachhaltige Nutzung sichern und die Potenziale 37 des natürlichen Klimaschutzes nutzen.",0.86540496
SPD,"Für das Miteinander stärken wir die Integrations- und Sprachkurse für alle zugewanderten Menschen in Deutschland, zu denen sie – ungeachtet ihrer Staatsangehörigkeit und ihres Aufenthaltsstatus – von Tag eins an Zugang haben sollen.",607.2,"Integration Für eine möglichst rasche Integration wollen wir für alle Menschen, die nach Deutschland kommen von Anfang an Integrationskurse anbieten.",0.8645733
SPD,"Wir wollen dafür sorgen, dass alle dazu geeigneten Dächer eine Solaranlage bekommen.",416.2,Alle geeigneten Dachflächen sollen künftig für die Solarenergie genutzt werden.,0.8643552
SPD,"Wir werden ein Bundesprogramm Barrierefreiheit initiieren, das über entsprechende Ressourcen verfügen muss.",503,Wir legen entsprechende Förderprogramme auf und bauen die Beratungsarbeit der Bundesfachstelle Barrierefreiheit aus.,0.8639431
SPD,Wir richten unsere Politik an den Nachhaltigkeitszielen der Vereinten Nationen (SDG) aus,107,Entwicklungszusammenarbeit Wir richten unser Handeln an der Agenda 2030 der VN mit ihren Nachhaltigkeitszielen (SDG) und einer werteorientierten Entwicklungspolitik aus.,0.86348045
SPD,"wir wollen den Klimawandel bewältigen,",501,Wir müssen die Klimakrise gemeinsam bewältigen.,0.86332643
SPD,"Nachdem wir bereits dafür gesorgt haben, dass grundsätzlich alle in Deutschland geborenen Kinder mit der Geburt auch deutsche Staatsbürger*innen sind,",607.2,In Deutschland geborene Kinder ausländischer Eltern werden mit ihrer Geburt deutsche Staatsbürgerinnen bzw.,0.8626502
SPD,Wie werden über die Pflegemindestlohnkommission eine weitere Erhöhung der Mindestlöhne verfolgen.,412,Im Anschluss daran wird die unabhängige Mindestlohnkommission über die etwaigen weiteren Erhöhungsschritte befinden.,0.86252254
SPD,"Dafür wollen wir die kulturpolitischen Spitzengespräche zu einem bundesweiten Kulturplenum weiterentwickeln, in dem neben Kommunen, Ländern und Bund auch Kulturproduzent*innen, ihre Verbände und die Zivilgesellschaft vertreten sind, um einen neuen Kulturkonsens über die Aufgaben und Verfahren der Kulturpolitik, ein kulturelles Bündnis der Vielfalt und Freiheit zu erarbeiten.",502,"In einem „Plenum der Kultur“ werden wir mit Kommunen, Ländern, Kulturproduzentinnen und -produzenten, Verbänden und Zivilgesellschaft Kooperation verbessern und Potenziale von Standards beraten.",0.8621015
SPD,"Deshalb werden wir ein funktionsfähiges Europäisches Asylsystem mit dem notwendigen Gleichgewicht zwischen Verantwortung und Solidarität voranbringen, das eine Reform des Dublin- Systems hin zu einem solidarischen Verteilungsmechanismus beinhaltet",108,"Auf dem Weg zu einem gemeinsamen funktionierenden EU-Asylsystem wollen wir mit einer Koalition der aufnahmebereiten Mitgliedstaaten vorangehen und aktiv dazu beitragen, dass andere EU-Staaten mehr Verantwortung übernehmen und EU-Recht einhalten.",0.8620495
SPD,Wir werden bezahlbaren Wohnraum erhalten und neuen schaffen.,504,"Wir werden dazu beitragen, dass ausreichend Wohnraum geschaffen wird und das Bauen und Wohnen der Zukunft bezahlbar, klimaneutral und barrierearm wird.",0.8614455
SPD,Wir werden sie weiter verbessern durch eine wirkungsvollere Zusammenarbeit des Bundes mit den Ländern.,301,Dieser Weg soll in Zusammenarbeit mit den Ländern intensiviert werden.,0.8611314
SPD,"Wir werden daher Strafrecht und Prävention besser verbinden, um Kinder und Jugendliche wirksam zu schützen.",605.1,Kinderschutz Wir wollen Prävention und Kinderschutz stärken und für eine kindersensible Justiz sorgen.,0.85909915
SPD,"und stellen uns Hass und Hetze, jedweder Art von Ausgrenzung und Diskriminierung und dem Erstarken rechtsextremer Kräfte mit aller Entschiedenheit entgegen.",503,"Wir treten allen verfassungsfeindlichen, gewaltbereiten Bestrebungen entschieden entgegen – ob Rechtsextremismus, Islamismus, Verschwörungsideologien, Linksextremismus oder jeder anderen Form des Extremismus.",0.85865057
SPD,Wir unterstützen die Menschen in Belarus in ihrem Wunsch nach Demokratie und Freiheit.,202.1,"154 Wir stehen an der Seite der Menschen in Belarus und unterstützen ihren Wunsch nach Neuwahlen, Demokratie, Freiheit sowie Rechtsstaatlichkeit und fordern die bedingungslose Freilassung aller politischen Gefangenen.",0.8586156
SPD,"Wir wollen Hilfen für Kinder, Jugendliche und Familien bündeln, die von Krankheit oder Behinderung betroffen sind.",504,Pflegeeltern von Kindern mit Behinderungen wollen wir besonders unterstützen.,0.85843587
SPD,Herausragende Orte der Demokratiegeschichte Deutschlands wollen wir auf Bundesebene fördern.,601.1,Wir wollen der Geschichte der Demokratie in Deutschland und ihren Orten mehr Sichtbarkeit verleihen.,0.8584283
SPD,und ein Beschäftigtendatenschutzgesetz einführen.,201.1,"Wir schaffen Regelungen zum Beschäftigtendatenschutz, um Rechtsklarheit für Arbeitgeber sowie Beschäftigte zu erreichen und die Persönlichkeitsrechte effektiv zu schützen.",0.85807836
SPD,Den Schienengüterverkehr wollen wir ausbauen und modernisieren.,411,Einen Schwerpunkt setzen wir dabei auf den Ausbau der Schieneninfrastruktur und des Bahnbetriebes.,0.8578457
SPD,"Wir treten für eine Gesellschaft ein, die von gegenseitigem Respekt getragen wird.",606.1,"Wir wollen eine Kultur des Respekts befördern – Respekt für andere Meinungen, für Gegenargumente und Streit, für andere Lebenswelten und Einstellungen.",0.8569294
